participant,trial_index,phase,phase_number,is_performance,quiz_name,event_index,melody,target_note,target_note_name,target_finger,target_onset_s,target_offset_s,target_duration_s,target_duration_beats,target_hand,actual_note,actual_finger,actual_onset_time,actual_offset_time,actual_duration_s,due_time,cue_onset_time,key_correct,finger_correct,finger_reviewed,played,signed_onset_error_ms,absolute_onset_error_ms,rt_ms,duration_error_ms,absolute_duration_error_ms,complete_success,recue_count,first_cue_onset_time,validity
P01,4,training,4,False,rhythm-P01-T04,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936632.627414,1787936634.002429,1.3750150203704834,,1787936632.327222,True,True,False,True,,,300.19187927246094,625.0150203704834,625.0150203704834,False,0,1787936632.327222,valid
P01,4,training,4,False,rhythm-P01-T04,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,65,R4,1787936634.148674,1787936635.780843,1.6321690082550049,,1787936633.828278,True,True,False,True,,,320.39594650268555,882.1690082550049,882.1690082550049,False,0,1787936633.828278,valid
P01,4,training,4,False,rhythm-P01-T04,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,62,R2,1787936635.9989681,1787936639.627201,3.628232955932617,,1787936635.32929,True,True,False,True,,,669.6782112121582,878.2329559326172,878.2329559326172,False,0,1787936635.32929,valid
P01,4,training,4,False,rhythm-P01-T04,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,64,R3,1787936639.881691,1787936641.3196878,1.4379968643188477,,1787936639.232749,True,True,False,True,,,648.9419937133789,687.9968643188477,687.9968643188477,False,0,1787936639.232749,valid
P01,4,training,4,False,rhythm-P01-T04,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936641.38869,1787936642.819807,1.431117057800293,,1787936641.1010659,True,True,False,True,,,287.6241207122803,681.117057800293,681.117057800293,False,0,1787936641.1010659,valid
P01,4,training,4,False,rhythm-P01-T04,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936642.874547,1787936643.285704,0.41115689277648926,,1787936642.604023,True,True,False,True,,,270.5240249633789,-338.84310722351074,338.84310722351074,False,0,1787936642.604023,valid
P01,4,training,4,False,rhythm-P01-T04,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936644.8105972,1787936647.2568588,2.4462616443634033,,1787936644.101771,True,True,False,True,,,708.8260650634766,696.2616443634033,696.2616443634033,False,0,1787936644.101771,valid
P01,4,training,4,False,rhythm-P01-T04,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936647.4627929,1787936648.933572,1.4707791805267334,,1787936647.0066628,True,True,False,True,,,456.1300277709961,720.7791805267334,720.7791805267334,False,0,1787936647.0066628,valid
P01,4,training,4,False,rhythm-P01-T04,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,L1,1787936649.413665,1787936650.903722,1.4900569915771484,,1787936648.673239,True,True,False,True,,,740.4260635375977,740.0569915771484,740.0569915771484,False,0,1787936648.673239,valid
P01,4,training,4,False,rhythm-P01-T04,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936651.094348,1787936652.742765,1.6484169960021973,,1787936650.60964,True,True,False,True,,,484.7080707550049,898.4169960021973,898.4169960021973,False,0,1787936650.60964,valid
P01,4,training,4,False,rhythm-P01-T04,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936652.864989,1787936655.449204,2.584214925765991,,1787936652.3092532,True,True,False,True,,,555.7358264923096,834.2149257659912,834.2149257659912,False,0,1787936652.3092532,valid
P01,4,training,4,False,rhythm-P01-T04,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L4,1787936655.52293,1787936655.8772,0.35426998138427734,,1787936655.0447738,True,True,False,True,,,478.15608978271484,-395.73001861572266,395.73001861572266,False,0,1787936655.0447738,valid
P01,4,training,4,False,rhythm-P01-T04,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,59,L2,1787936657.219873,1787936658.510762,1.290889024734497,,1787936656.7121549,True,True,False,True,,,507.7180862426758,540.8890247344971,540.8890247344971,False,0,1787936656.7121549,valid
P01,4,training,4,False,rhythm-P01-T04,14,melody_seed415411,60,C4,L1,21.0,23.75,2.75,3.0,L,60,L1,1787936659.149365,,,,1787936658.414829,True,True,False,True,,,734.5359325408936,,,False,0,1787936658.414829,valid
P01,5,training,5,False,rhythm-P01-T05,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,67,R5,1787936672.3811572,1787936673.798932,1.4177749156951904,,1787936671.8569758,True,True,False,True,,,524.1813659667969,667.7749156951904,667.7749156951904,False,0,1787936671.8569758,valid
P01,5,training,5,False,rhythm-P01-T05,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936673.9843059,1787936675.176223,1.1919171810150146,,1787936673.5922902,True,True,False,True,,,392.0156955718994,441.91718101501465,441.91718101501465,False,0,1787936673.5922902,valid
P01,5,training,5,False,rhythm-P01-T05,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,65,R4,1787936675.436552,1787936676.972929,1.536376953125,,1787936675.1938372,True,True,False,True,,,242.71488189697266,786.376953125,786.376953125,False,0,1787936675.1938372,valid
P01,5,training,5,False,rhythm-P01-T05,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,62,R2,1787936677.025026,1787936680.5718021,3.546776056289673,,1787936676.6599302,True,True,False,True,,,365.095853805542,796.7760562896729,796.7760562896729,False,0,1787936676.6599302,valid
P01,5,training,5,False,rhythm-P01-T05,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,64,R3,1787936680.820837,1787936682.046587,1.2257499694824219,,1787936680.230919,True,True,False,True,,,589.9181365966797,475.7499694824219,475.7499694824219,False,0,1787936680.230919,valid
P01,5,training,5,False,rhythm-P01-T05,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936682.258177,1787936683.722128,1.4639508724212646,,1787936682.0324779,True,True,False,True,,,225.69918632507324,713.9508724212646,713.9508724212646,False,0,1787936682.0324779,valid
P01,5,training,5,False,rhythm-P01-T05,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936683.767972,1787936684.084866,0.3168940544128418,,1787936683.464861,True,True,False,True,,,303.11107635498047,-433.1059455871582,433.1059455871582,False,0,1787936683.464861,valid
P01,5,training,5,False,rhythm-P01-T05,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,L2,1787936685.643923,1787936688.13412,2.490196943283081,,1787936684.967066,True,True,False,True,,,676.8569946289062,740.196943283081,740.196943283081,False,0,1787936684.967066,valid
P01,5,training,5,False,rhythm-P01-T05,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,L2,1787936688.351358,1787936689.8828318,1.5314738750457764,,1787936687.837045,True,True,False,True,,,514.3129825592041,781.4738750457764,781.4738750457764,False,0,1787936687.837045,valid
P01,5,training,5,False,rhythm-P01-T05,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,L1,1787936690.509058,1787936691.8074958,1.2984378337860107,,1787936689.5369081,True,True,False,True,,,972.1498489379883,548.4378337860107,548.4378337860107,False,0,1787936689.5369081,valid
P01,5,training,5,False,rhythm-P01-T05,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,L2,1787936692.2144709,1787936693.440181,1.225710153579712,,1787936691.739007,True,True,False,True,,,475.4638671875,475.7101535797119,475.7101535797119,False,0,1787936691.739007,valid
P01,5,training,5,False,rhythm-P01-T05,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L4,1787936693.927861,1787936696.366266,2.4384050369262695,,1787936693.438015,True,True,False,True,,,489.84599113464355,688.4050369262695,688.4050369262695,False,0,1787936693.438015,valid
P01,5,training,5,False,rhythm-P01-T05,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L4,1787936696.600874,1787936697.942912,1.3420381546020508,,1787936696.143276,True,True,False,True,,,457.5979709625244,592.0381546020508,592.0381546020508,False,0,1787936696.143276,valid
P01,5,training,5,False,rhythm-P01-T05,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,59,L2,1787936698.1744168,1787936699.442685,1.26826810836792,,1787936697.777874,True,True,False,True,,,396.5427875518799,518.2681083679199,518.2681083679199,False,0,1787936697.777874,valid
P01,5,training,5,False,rhythm-P01-T05,14,melody_seed415411,60,C4,L1,21.0,23.75,2.75,3.0,L,60,L1,1787936700.178187,,,,1787936699.377915,True,True,False,True,,,800.2719879150391,,,False,0,1787936699.377915,valid
P01,6,probe,1,True,rhythm-P01-T06,0,melody_seed415411,67,G4,R5,0.0,0.75,0.75,1.0,R,65,R4,1787936712.675264,1787936713.351237,0.6759731769561768,1787936711.053901,,False,False,False,True,1621.3629245758057,1621.3629245758057,,-74.02682304382324,74.02682304382324,False,0,1787936711.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,1,melody_seed415411,65,F4,R4,1.0,1.75,0.75,1.0,R,65,R4,1787936713.467507,1787936714.323852,0.8563451766967773,1787936712.053901,,True,True,False,True,1413.6059284210205,1413.6059284210205,,106.34517669677734,106.34517669677734,False,0,1787936712.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,2,melody_seed415411,65,F4,R4,2.0,2.75,0.75,1.0,R,62,R2,1787936714.3786922,1787936717.406056,3.0273637771606445,1787936713.053901,,False,False,False,True,1324.7911930084229,1324.7911930084229,,2277.3637771606445,2277.3637771606445,False,0,1787936713.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,3,melody_seed415411,62,D4,R2,3.0,5.75,2.75,3.0,R,64,R3,1787936718.438177,1787936719.308161,0.8699839115142822,1787936714.053901,,False,False,False,True,4384.2761516571045,4384.2761516571045,,-1880.0160884857178,1880.0160884857178,False,0,1787936714.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,4,melody_seed415411,64,E4,R3,7.0,7.75,0.75,1.0,R,62,R2,1787936719.306897,1787936720.280888,0.9739911556243896,1787936718.053901,,False,False,False,True,1252.9959678649902,1252.9959678649902,,223.99115562438965,223.99115562438965,False,0,1787936718.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,5,melody_seed415411,62,D4,R2,8.0,8.75,0.75,1.0,R,62,R2,1787936720.338819,1787936720.6612852,0.3224661350250244,1787936719.053901,,True,True,False,True,1284.9180698394775,1284.9180698394775,,-427.5338649749756,427.5338649749756,False,0,1787936719.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,6,melody_seed415411,62,D4,R2,9.0,9.75,0.75,1.0,R,62,R2,1787936720.735842,1787936721.645268,0.9094259738922119,1787936720.053901,,True,True,False,True,681.941032409668,681.941032409668,,159.4259738922119,159.4259738922119,False,0,1787936720.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,7,melody_seed415411,59,B3,L2,10.0,11.75,1.75,2.0,L,59,R1,1787936721.7153752,1787936724.439271,2.723895788192749,1787936721.053901,,True,False,False,True,661.4742279052734,661.4742279052734,,973.895788192749,973.895788192749,False,0,1787936721.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,8,melody_seed415411,59,B3,L2,13.0,13.75,0.75,1.0,L,59,R1,1787936724.5858681,1787936725.3616471,0.7757790088653564,1787936724.053901,,True,False,False,True,531.9671630859375,531.9671630859375,,25.779008865356445,25.779008865356445,False,0,1787936724.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,9,melody_seed415411,60,C4,L1,14.0,14.75,0.75,1.0,L,60,R2,1787936725.4393659,1787936726.3123012,0.8729352951049805,1787936725.053901,,True,False,False,True,385.4649066925049,385.4649066925049,,122.93529510498047,122.93529510498047,False,0,1787936725.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,10,melody_seed415411,59,B3,L2,15.0,15.75,0.75,1.0,L,59,R1,1787936726.5094569,1787936727.628481,1.1190240383148193,1787936726.053901,,True,False,False,True,455.55591583251953,455.55591583251953,,369.02403831481934,369.02403831481934,False,0,1787936726.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,11,melody_seed415411,55,G3,L4,16.0,17.75,1.75,2.0,L,55,L2,1787936727.656481,1787936730.442914,2.786432981491089,1787936727.053901,,True,False,False,True,602.5800704956055,602.5800704956055,,1036.4329814910889,1036.4329814910889,False,0,1787936727.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,12,melody_seed415411,55,G3,L4,19.0,19.75,0.75,1.0,L,55,L2,1787936730.548515,1787936730.965685,0.41716980934143066,1787936730.053901,,True,False,False,True,494.6141242980957,494.6141242980957,,-332.83019065856934,332.83019065856934,False,0,1787936730.053901,valid
P01,6,probe,1,True,rhythm-P01-T06,13,melody_seed415411,59,B3,L2,20.0,20.75,0.75,1.0,L,55,L2,1787936731.030247,1787936731.431883,0.40163612365722656,1787936731.053901,,False,True,False,True,-23.65398406982422,23.65398406982422,,-348.36387634277344,348.36387634277344,False,0,1787936731.053901,valid
