participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P08,C,beta,1,0.9666666666666667,0.8850536108016968,0.8862905255679426
P08,C,beta,2,1.0,0.7435106754302978,0.7435106754302978
P08,C,beta,3,1.0,0.6353700002034505,0.6353700002034505
P08,C,gamma,1,1.0,0.7665321985880534,0.7665321985880534
P08,C,gamma,2,1.0,0.7281787792841593,0.7281787792841593
P08,C,gamma,3,0.9,0.7112384955088298,0.695921368069119
P09,B,alpha,1,0.9666666666666667,1.2851468563079833,1.2949521952661975
P09,B,alpha,2,0.9,0.9410219589869181,0.9113707719025789
P09,B,alpha,3,0.9666666666666667,0.8119171063105265,0.809678447657618
P09,B,beta,1,0.9333333333333333,0.860649561882019,0.8221180353845868
P09,B,beta,2,0.9333333333333333,0.8960684825634134,0.8937567131859916
P09,B,beta,3,0.9666666666666667,0.7868252038955689,0.7951522860033758
P09,B,gamma,1,0.9666666666666667,1.2794543266296388,1.2785006062737827
P09,B,gamma,2,0.9,0.9526825773304907,0.9515167695504648
P09,B,gamma,3,0.9666666666666667,0.9692067702611288,0.9654010410966545
P09,C,alpha,1,1.0,0.8360519250233968,0.8360519250233968
P09,C,alpha,2,1.0,0.5668931563695272,0.5668931563695272
P09,C,alpha,3,0.9666666666666667,0.6121671756108602,0.6170375264924148
P09,C,beta,1,1.0,0.6994752963383992,0.6994752963383992
P09,C,beta,2,0.9666666666666667,0.7122359911600749,0.7081938858689933
P09,C,beta,3,1.0,0.5884015162785848,0.5884015162785848
P09,C,gamma,1,1.0,0.6227701743443806,0.6227701743443806
P09,C,gamma,2,1.0,0.6616858243942261,0.6616858243942261
P09,C,gamma,3,1.0,0.6008532444636027,0.6008532444636027
P10,B,alpha,1,0.9,0.9110645055770874,0.9077370784900807
P10,B,alpha,2,0.9,0.8223998631749835,0.8148769361001474
P10,B,alpha,3,0.9666666666666667,0.8328631321589152,0.8330855122927961
P10,B,beta,1,0.8333333333333334,0.9958780716205465,0.9953706550598145
P10,B,beta,2,0.9333333333333333,0.9407829523086548,0.9366327439035688
P10,B,beta,3,0.9666666666666667,0.8708056608835856,0.880481613093409
P10,B,gamma,1,0.9333333333333333,1.1430758396784464,1.1297435419900077
P10,B,gamma,2,0.9666666666666667,1.064046573638916,1.0611775496910358
P10,B,gamma,3,0.9333333333333333,1.0415739218393962,1.0298853346279688
P10,C,alpha,1,1.0,0.7963367064793905,0.7963367064793905
P10,C,alpha,2,1.0,0.49886887073516845,0.49886887073516845
P10,C,alpha,3,1.0,0.550906260808309,0.550906260808309
