participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P11,C,4,56,26,30,56,1.0,0.5219981372356415,56,0.5219981372356415
P11,C,5,42,21,21,42,0.9285714285714286,0.6401532150450207,39,0.6529935139876145
P12,B,1,45,24,21,45,0.9333333333333333,0.8619704829321967,42,0.868475874265035
P12,B,2,69,39,30,69,0.927536231884058,0.8890203842218372,64,0.8760796412825584
P12,B,3,63,34,29,63,0.9365079365079365,0.919347672235398,59,0.9230722653663764
P12,B,4,50,25,25,50,0.92,1.0274082279205323,46,1.040778398513794
P12,B,5,43,19,24,43,1.0,1.0623685038366983,43,1.0623685038366983
P12,C,1,42,16,26,42,1.0,0.738406533286685,42,0.738406533286685
P12,C,2,53,25,28,53,0.9811320754716981,0.6849049577173197,52,0.6853814537708576
P12,C,3,69,34,35,69,0.9710144927536232,0.6747329096863235,67,0.6616989818971548
P12,C,4,57,35,22,57,0.9824561403508771,0.7266732558869479,56,0.7259965240955353
P12,C,5,49,29,20,49,0.9795918367346939,0.8447801190979627,48,0.8463223526875178
P13,B,1,34,18,16,34,1.0,0.8773607857087079,34,0.8773607857087079
P13,B,2,53,31,22,53,0.9433962264150944,0.8577437895648884,50,0.8576403141021729
P13,B,3,68,34,34,68,0.9411764705882353,0.7981631615582634,64,0.8007982261478901
P13,B,4,61,30,31,61,0.9180327868852459,0.9228575190559762,56,0.9318470827170781
P13,B,5,54,28,26,54,0.9074074074074074,0.9716723671665898,49,0.9908230353374871
P13,C,1,51,24,27,51,0.9803921568627451,0.7320672857995126,50,0.7265021514892578
P13,C,2,67,29,38,67,1.0,0.5715137595561013,67,0.5715137595561013
P13,C,3,62,26,36,62,1.0,0.5774376315455283,62,0.5774376315455283
P13,C,4,48,25,23,48,1.0,0.6499337802330653,48,0.6499337802330653
P13,C,5,42,27,15,42,1.0,0.8381900900886172,42,0.8381900900886172
