participant_id,condition,difficulty,n_trials,mean_rt_correct_key_ms,main_finger_accuracy,valid_event_count,centroid_level
P08,C,alpha,3,653.3672332763672,98.8888888888889,90,participant
P08,C,beta,3,754.6447621451483,98.8888888888889,90,participant
P08,C,gamma,3,735.3164911270142,96.66666666666667,90,participant
P09,A,alpha,3,386.1331065495809,24.444444444444443,90,participant
P09,A,beta,3,399.42859808603924,18.88888888888889,90,participant
P09,A,gamma,3,467.56491094713465,13.333333333333334,90,participant
P09,B,alpha,3,1012.6953072018092,94.44444444444446,90,participant
P09,B,beta,3,847.8477494470004,94.44444444444444,90,participant
P09,B,gamma,3,1067.1145580737527,94.44444444444446,90,participant
P09,C,alpha,3,671.7040856679281,98.8888888888889,90,participant
P09,C,beta,3,666.7042679256863,98.8888888888889,90,participant
P09,C,gamma,3,628.4364144007365,100.0,90,participant
P10,A,alpha,3,379.459998342726,32.22222222222222,90,participant
P10,A,beta,3,435.1789554873646,28.88888888888889,90,participant
P10,A,gamma,3,592.0975298717104,14.444444444444445,90,participant
P10,B,alpha,3,855.4425003036621,92.22222222222223,90,participant
P10,B,beta,3,935.8222282709289,91.11111111111113,90,participant
P10,B,gamma,3,1082.8987783855862,94.44444444444444,90,participant
P10,C,alpha,3,615.3706126742893,100.0,90,participant
P10,C,beta,3,583.5361851586237,98.8888888888889,90,participant
P10,C,gamma,3,728.1764843454763,98.8888888888889,90,participant
P11,A,alpha,3,362.7874922478336,24.444444444444446,90,participant
P11,A,beta,3,368.90584097968207,24.444444444444443,90,participant
P11,A,gamma,3,422.36166128253575,18.88888888888889,90,participant
P11,B,alpha,3,677.6718621053002,92.22222222222223,90,participant
P11,B,beta,3,764.9181350829109,93.33333333333333,90,participant
P11,B,gamma,3,785.7912614427763,94.44444444444446,90,participant
P11,C,alpha,3,437.87688944074847,97.77777777777777,90,participant
P11,C,beta,3,495.0699011484782,97.77777777777779,90,participant
P11,C,gamma,3,610.7200047065471,94.44444444444444,90,participant
P12,A,alpha,3,482.1950067505525,22.222222222222225,90,participant
P12,A,beta,3,442.26638740963404,17.77777777777778,90,participant
P12,A,gamma,3,600.9547472000122,8.88888888888889,90,participant
P12,B,alpha,3,917.6407469643488,96.66666666666667,90,participant
P12,B,beta,3,910.7860261909806,92.22222222222223,90,participant
P12,B,gamma,3,1000.8710039986505,93.33333333333333,90,participant
P12,C,alpha,3,704.4479846954346,97.77777777777779,90,participant
P12,C,beta,3,716.2920792897543,98.8888888888889,90,participant
P12,C,gamma,3,764.6400398678251,97.77777777777779,90,participant
P13,A,alpha,3,422.57727252112494,23.333333333333332,90,participant
P13,A,beta,3,471.47785192248466,17.77777777777778,90,participant
P13,A,gamma,3,523.8491667641534,24.444444444444443,90,participant
P13,B,alpha,3,885.0575828004157,96.66666666666667,90,participant
P13,B,beta,3,852.6009427176581,88.8888888888889,90,participant
P13,B,gamma,3,910.4454769485297,95.55555555555556,90,participant
P13,C,alpha,3,605.1807589001127,100.0,90,participant
P13,C,beta,3,610.6415934032864,100.0,90,participant
P13,C,gamma,3,760.0531127717759,98.8888888888889,90,participant
P14,A,alpha,3,539.4110732608372,21.11111111111111,90,participant
P14,A,beta,3,511.2869183222453,12.222222222222221,90,participant
P14,A,gamma,3,651.8215186751208,17.77777777777778,90,participant
P14,B,alpha,3,915.9581104914347,97.77777777777777,90,participant
P14,B,beta,3,1041.5055672327678,93.33333333333333,90,participant
P14,B,gamma,3,1082.598631500741,94.44444444444446,90,participant
P14,C,alpha,3,929.0727059046427,97.77777777777777,90,participant
P14,C,beta,3,784.0688361061943,94.44444444444444,90,participant
P14,C,gamma,3,888.5741525226168,98.8888888888889,90,participant
