participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P06,1,alpha,1,1,30,30,100.0,R2,83.33333333333333,3,1.7056761700443712,31.03448275862069,406.8394899368286,100.0,30,2.0,1.6071428571428572,0.03571428571428571,1.0,27.586206896551722,31.03448275862069
P06,5,alpha,2,2,30,30,100.0,R2,100.0,1,1.0,0.0,355.4069995880127,100.0,30,2.6206896551724137,1.5357142857142858,0.0,1.0,0.0,34.48275862068966
P06,7,gamma,3,1,30,30,100.0,R2,33.333333333333336,7,5.817637134874351,68.96551724137932,514.0730142593384,100.0,30,3.7142857142857144,5.428571428571429,0.5714285714285714,2.0,44.827586206896555,58.620689655172406
P06,8,beta,4,1,30,30,100.0,R2,63.333333333333336,4,2.778644151492593,41.37931034482759,370.74804306030273,96.66666666666667,29,2.8518518518518516,2.2962962962962963,0.2222222222222222,1.4814814814814814,25.0,46.42857142857143
P06,13,gamma,5,2,30,30,100.0,R2,76.66666666666667,5,2.3192583129670465,31.03448275862069,502.8550624847412,100.0,30,7.586206896551724,5.035714285714286,0.41379310344827586,2.25,0.0,51.724137931034484
P06,14,beta,6,2,30,30,100.0,R2,53.333333333333336,5,3.6130968149962355,62.06896551724138,361.2004518508911,100.0,30,2.5,2.2142857142857144,0.35714285714285715,1.5357142857142858,34.48275862068966,48.275862068965516
P06,19,gamma,7,3,30,30,100.0,R2,63.333333333333336,4,2.404203479123207,62.06896551724138,420.2171564102173,100.0,30,4.357142857142857,5.642857142857143,0.14285714285714285,2.1785714285714284,51.724137931034484,55.172413793103445
P06,26,beta,8,3,30,30,100.0,R2,66.66666666666667,4,2.5882025338466073,48.275862068965516,344.2591428756714,100.0,30,2.5,2.4642857142857144,0.10714285714285714,1.2142857142857142,41.37931034482759,48.275862068965516
P06,27,alpha,9,3,30,30,100.0,R2,53.333333333333336,3,2.2501690383898287,44.827586206896555,396.23844623565674,100.0,30,1.6071428571428572,1.8214285714285714,0.03571428571428571,0.9642857142857143,41.37931034482759,34.48275862068966
P07,4,beta,1,1,30,30,100.0,L2,36.666666666666664,6,4.800090160928372,89.65517241379311,449.862003326416,96.66666666666667,29,2.074074074074074,2.4444444444444446,0.7407407407407407,1.4814814814814814,25.0,46.42857142857143
