participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P06,17,C,alpha,1.0,0.9777777777777779,0.7509431123733521,0.8812055406747041
P06,18,B,alpha,0.9666666666666667,0.9777777777777779,1.1048495531082154,1.0205844698128876
P06,20,C,beta,1.0,0.9777777777777779,0.6718317111333211,0.787941994048931
P06,21,B,gamma,0.8666666666666667,0.9111111111111111,1.207038982709249,0.9910501722936277
P06,22,C,beta,1.0,0.9777777777777779,0.8913174629211426,1.0074277458367524
P06,23,B,alpha,0.9666666666666667,0.9777777777777779,0.8154590447743734,0.7311939614790457
P06,24,B,gamma,0.9666666666666667,1.011111111111111,1.031013043721517,0.8150242333058958
P06,25,B,beta,1.0,1.011111111111111,0.9343656142552693,0.7971260419598332
P07,1,C,alpha,0.8333333333333334,0.8685185185185187,0.9726436138153076,0.9723016621509276
P07,2,B,alpha,0.9666666666666667,0.9462962962962963,0.9569301048914591,0.9060956837573728
P07,3,B,beta,1.0,0.9907407407407407,0.8139209906260173,0.8569948820775497
P07,5,B,gamma,0.9333333333333333,0.924074074074074,0.9817495028177897,0.907258835286473
P07,6,B,alpha,1.0,0.9796296296296296,0.9762665828069051,0.9254321616728188
P07,7,C,beta,0.9666666666666667,0.9685185185185184,0.8765154600143432,0.955179396123265
P07,8,B,gamma,1.0,0.9907407407407407,0.9175469636917114,0.8430562961603947
P07,10,B,alpha,1.0,0.9796296296296296,0.7897416273752849,0.7389072062411985
P07,11,C,alpha,0.9666666666666667,1.001851851851852,0.8534084876378377,0.8530665359734577
P07,12,C,gamma,1.0,1.0018518518518518,0.8381993532180786,0.842128565987408
P07,13,B,gamma,1.0,0.9907407407407407,0.894610587755839,0.8201199202245223
P07,14,C,beta,1.0,1.0018518518518518,0.7102896213531494,0.7889535574620712
P07,17,B,beta,0.9666666666666667,0.9574074074074074,0.7982904036839803,0.8413642951355127
P07,19,C,beta,0.9333333333333333,0.9351851851851851,0.7476381619771322,0.8263020980860539
P07,22,C,alpha,1.0,1.0351851851851852,0.7454088052113851,0.7450668535470051
P07,24,B,beta,0.9666666666666667,0.9574074074074074,0.8290019830067953,0.8720758744583277
P07,25,C,gamma,0.9666666666666667,0.9685185185185184,0.7678192648394354,0.7717484776087649
P07,27,C,gamma,0.9333333333333333,0.9351851851851851,0.9526287953058878,0.9565580080752173
P08,1,B,gamma,0.8,0.888888888888889,1.6870772412845068,1.3566527112135813
P08,3,C,beta,0.9666666666666667,0.9111111111111111,0.8850536108016968,1.0682996673243386
P08,4,B,alpha,1.0,1.011111111111111,1.2287428696950278,1.096819342791088
P08,5,B,beta,0.8666666666666667,0.9111111111111112,1.3093425273895263,1.1013466149095503
P08,8,B,beta,0.9,0.9444444444444445,1.063976001739502,0.8559800892595261
P08,9,C,alpha,1.0,0.9444444444444444,0.7401425202687582,1.0246661056601811
P08,10,C,gamma,1.0,0.9666666666666667,0.7665321985880534,0.9691065261288295
P08,13,B,alpha,0.9333333333333333,0.9444444444444445,1.0457573572794596,0.9138338303755199
P08,15,B,gamma,0.8,0.888888888888889,1.0136039813359579,0.6831794512650323
P08,17,C,gamma,1.0,0.9666666666666667,0.7281787792841593,0.9307531068249354
P08,18,B,gamma,0.9333333333333333,1.0222222222222221,1.1042648235956827,0.7738402935247571
