participant,level,metric,unit,generated_reference,actual,difference_actual_minus_reference
P15,beta,hand_switch_rate,%,46.51067323481117,39.614121510673236,-6.896551724137936
P16,beta,hand_switch_rate,%,44.70443349753695,29.392446633825944,-15.311986863711002
P01,gamma,hand_switch_rate,%,58.620689655172406,44.82758620689655,-13.793103448275858
P02,gamma,hand_switch_rate,%,52.38095238095238,33.333333333333336,-19.047619047619044
P03,gamma,hand_switch_rate,%,54.76646597336253,60.59569421638387,5.8292282430213405
P04,gamma,hand_switch_rate,%,57.01970443349753,54.55665024630542,-2.463054187192107
P05,gamma,hand_switch_rate,%,57.01970443349754,47.57799671592775,-9.441707717569784
P06,gamma,hand_switch_rate,%,55.17241379310345,32.18390804597701,-22.98850574712644
P07,gamma,hand_switch_rate,%,53.48932676518883,62.76683087027914,9.277504105090316
P08,gamma,hand_switch_rate,%,52.87356321839081,56.32183908045977,3.448275862068961
P09,gamma,hand_switch_rate,%,55.78817733990147,46.67487684729064,-9.113300492610833
P10,gamma,hand_switch_rate,%,55.29556650246305,56.650246305418726,1.3546798029556726
P11,gamma,hand_switch_rate,%,55.82922824302134,63.99835796387521,8.169129720853867
P12,gamma,hand_switch_rate,%,56.32183908045977,54.02298850574712,-2.2988505747126453
P13,gamma,hand_switch_rate,%,55.17241379310344,50.57471264367816,-4.597701149425276
P14,gamma,hand_switch_rate,%,54.59770114942528,60.4679802955665,5.870279146141215
P15,gamma,hand_switch_rate,%,55.254515599343186,48.19376026272578,-7.0607553366174045
P16,gamma,hand_switch_rate,%,53.44827586206896,46.75697865353038,-6.691297208538579
P01,alpha,same_hand_key_travel,semitones,1.3214285714285714,2.512725779967159,1.1912972085385876
P02,alpha,same_hand_key_travel,semitones,1.5906593406593406,2.4386446886446884,0.8479853479853479
P03,alpha,same_hand_key_travel,semitones,1.3962148962148964,1.8339438339438339,0.4377289377289375
P04,alpha,same_hand_key_travel,semitones,1.3653846153846156,2.2582417582417587,0.892857142857143
P05,alpha,same_hand_key_travel,semitones,1.3487654320987652,2.052469135802469,0.7037037037037039
P06,alpha,same_hand_key_travel,semitones,1.6547619047619049,2.075944170771757,0.4211822660098521
P07,alpha,same_hand_key_travel,semitones,1.4285714285714286,2.035714285714286,0.6071428571428574
P08,alpha,same_hand_key_travel,semitones,1.3690476190476193,1.7976190476190474,0.42857142857142816
P09,alpha,same_hand_key_travel,semitones,1.4285714285714286,2.119047619047619,0.6904761904761905
P10,alpha,same_hand_key_travel,semitones,1.5119047619047619,1.7261904761904763,0.2142857142857144
P11,alpha,same_hand_key_travel,semitones,1.279541446208113,1.864638447971781,0.5850970017636681
P12,alpha,same_hand_key_travel,semitones,1.4708994708994707,1.7253086419753085,0.2544091710758378
P13,alpha,same_hand_key_travel,semitones,1.4523809523809526,2.261904761904762,0.8095238095238093
P14,alpha,same_hand_key_travel,semitones,1.2499999999999998,2.035714285714286,0.7857142857142863
P15,alpha,same_hand_key_travel,semitones,1.3452380952380951,1.6547619047619049,0.30952380952380976
P16,alpha,same_hand_key_travel,semitones,1.3752204585537917,2.0577601410934743,0.6825396825396826
P01,beta,same_hand_key_travel,semitones,2.75,2.8095238095238098,0.059523809523809756
P02,beta,same_hand_key_travel,semitones,2.807319223985891,2.904320987654321,0.09700176366842994
P03,beta,same_hand_key_travel,semitones,2.7764550264550265,2.6335978835978833,-0.14285714285714324
P04,beta,same_hand_key_travel,semitones,2.535714285714286,2.5,-0.03571428571428603
P05,beta,same_hand_key_travel,semitones,2.714285714285714,2.884646962233169,0.17036124794745522
P06,beta,same_hand_key_travel,semitones,2.3249559082892417,2.6172839506172836,0.2923280423280419
P07,beta,same_hand_key_travel,semitones,2.3743386243386246,2.1318342151675487,-0.24250440917107596
P08,beta,same_hand_key_travel,semitones,2.7261904761904763,2.830246913580247,0.10405643738977055
