id,participant_id,actuator_type,trial_index,vibration_onset,response_time,reaction_time_ms,is_valid,is_miss,false_start_count,iti_seconds,created_at
53,2,ERM,8,2490604.878189,2490605.24588625,367.69725009799004,1,0,1,3.435017817963354,2026-04-16 09:42:01
54,2,ERM,9,2490610.110569458,2490610.357426958,246.8575001694262,1,0,0,4.857419407368965,2026-04-16 09:42:06
55,2,ERM,10,2490613.204673625,2490613.482133,277.4593750946224,1,0,0,2.8403731931662777,2026-04-16 09:42:10
56,2,ERM,11,2490618.048401958,2490618.419893083,371.49112531915307,1,0,0,4.563686008724915,2026-04-16 09:42:15
57,2,ERM,12,2490620.872078625,2490621.226796583,354.7179577872157,1,0,0,2.444934763180731,2026-04-16 09:42:17
58,2,ERM,13,2490623.53178925,2490623.835771583,303.98233281448483,1,0,0,2.2981442882967738,2026-04-16 09:42:20
59,2,ERM,14,2490628.46447125,2490628.739143666,274.6724160388112,1,0,0,4.62356474098142,2026-04-16 09:42:25
60,2,ERM,15,2490632.806974291,2490633.151833625,344.8593341745436,1,0,0,4.060489587379681,2026-04-16 09:42:29
61,3,LRA,1,2490668.835938291,2490669.082784541,246.84624979272485,1,0,0,2.003355601358253,2026-04-16 09:43:05
62,3,LRA,2,2490673.85075975,2490674.1530785,302.31874994933605,1,0,0,4.7603769013177395,2026-04-16 09:43:10
63,3,LRA,3,2490678.918686458,2490679.126307875,207.62141700834036,1,0,0,4.761558135198811,2026-04-16 09:43:15
64,3,LRA,4,2490683.921810166,2490684.133110333,211.3001667894423,1,0,0,4.7879895713203595,2026-04-16 09:43:20
65,3,LRA,5,2490687.416700416,2490687.673396875,256.6964593715966,1,0,0,3.279114382292126,2026-04-16 09:43:24
66,3,LRA,6,2490691.751113666,2490691.9460055,194.89183370023966,1,0,0,4.070410208978709,2026-04-16 09:43:28
67,3,LRA,7,2490696.381791625,2490696.614859333,233.0677076242864,1,0,0,4.4179633298760415,2026-04-16 09:43:33
68,3,LRA,8,2490701.566434416,2490701.935794833,369.36041712760925,1,0,0,4.944317607928287,2026-04-16 09:43:38
69,3,LRA,9,2490704.067562458,2490704.341696416,274.13395792245865,1,0,0,2.125701690552864,2026-04-16 09:43:40
70,3,LRA,10,2490708.578254083,2490708.734274333,156.02024970576167,1,0,0,4.2312769814853075,2026-04-16 09:43:45
71,3,LRA,11,2490712.602151875,2490712.893415708,291.26383317634463,1,0,0,3.81146346857478,2026-04-16 09:43:49
72,3,LRA,12,2490715.450967958,2490715.7666325,315.6645419076085,1,0,0,2.550196094729303,2026-04-16 09:43:52
73,3,LRA,13,2490718.894741791,2490719.220487708,325.745917391032,1,0,0,3.120778094192658,2026-04-16 09:43:55
74,3,LRA,14,2490721.653788166,2490721.9945355,340.74733406305313,1,0,0,2.426712153903307,2026-04-16 09:43:58
75,3,LRA,15,2490725.762436333,2490726.082229625,319.79329185560346,1,0,0,3.764547279614547,2026-04-16 09:44:02
76,3,ERM,1,2490744.338519333,2490744.566963875,228.44454227015376,1,0,0,2.7650323187163925,2026-04-16 09:44:21
77,3,ERM,2,2490749.316760333,2490749.549801666,233.0413330346346,1,0,0,4.745129672042676,2026-04-16 09:44:26
78,3,ERM,3,2490754.464711083,2490754.794059916,329.348832834512,1,0,0,4.910609914210026,2026-04-16 09:44:31
79,3,ERM,4,2490758.299126916,2490758.574018541,274.89162469282746,1,0,0,3.497842717585756,2026-04-16 09:44:35
80,3,ERM,5,2490760.698225083,2490760.949835166,251.61008303985,1,0,0,2.1169271315038936,2026-04-16 09:44:37
81,3,ERM,6,2490764.847008625,2490765.089755916,242.7472909912467,1,0,0,3.8927298413640785,2026-04-16 09:44:41
82,3,ERM,7,2490768.97726075,2490769.283354791,306.0940410941839,1,0,0,3.8836101339049915,2026-04-16 09:44:45
83,3,ERM,8,2490773.81385725,2490774.023490625,209.63337505236268,1,0,0,4.523213457399601,2026-04-16 09:44:50
84,3,ERM,9,2490776.231396083,2490776.522940125,291.54404206201434,1,0,0,2.2031659174364764,2026-04-16 09:44:53
85,3,ERM,10,2490780.51192975,2490780.767754625,255.82487508654594,1,0,0,3.9821681325176903,2026-04-16 09:44:57
86,3,ERM,11,2490785.3254605,2490785.54348925,218.0287498049438,1,0,0,4.552415466632502,2026-04-16 09:45:02
87,3,ERM,12,2490788.586879083,2490788.917237083,330.3580000065267,1,0,0,3.036142734763168,2026-04-16 09:45:05
